sample_id,filename,filetype,path,total_gbp,coverage,n50
HG00735,HG00735_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00735_r10-hifiasm-correct.ec.ont.fq.gz,171.499,51.97,107586
HG00738,HG00738_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00738_r10-hifiasm-correct.ec.ont.fq.gz,247.53,75.01,90612
HG00741,HG00741_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00741_r10-hifiasm-correct.ec.ont.fq.gz,186.847,56.62,123590
HG00867,HG00867_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00867_r10-hifiasm-correct.ec.ont.fq.gz,217.022,65.76,88177
HG01028,HG01028_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01028_r10-hifiasm-correct.ec.ont.fq.gz,291.015,88.19,81463
HG01048,HG01048_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01048_r10-hifiasm-correct.ec.ont.fq.gz,199.964,60.6,89942
HG01067,HG01067_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01067_r10-hifiasm-correct.ec.ont.fq.gz,345.277,104.63,103887
HG01071,HG01071_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01071_r10-hifiasm-correct.ec.ont.fq.gz,222.369,67.38,87575
HG01074,HG01074_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01074_r10-hifiasm-correct.ec.ont.fq.gz,194.591,58.97,128578
HG01081,HG01081_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01081_r10-hifiasm-correct.ec.ont.fq.gz,184.709,55.97,91535
HG01099,HG01099_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01099_r10-hifiasm-correct.ec.ont.fq.gz,199.102,60.33,104440
HG01106,HG01106_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01106_r10-hifiasm-correct.ec.ont.fq.gz,242.174,73.39,108848
HG01123,HG01123_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01123_r10-hifiasm-correct.ec.ont.fq.gz,153.225,46.43,112225
HG01136,HG01136_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01136_r10-hifiasm-correct.ec.ont.fq.gz,143.745,43.56,120273
HG01150,HG01150_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01150_r10-hifiasm-correct.ec.ont.fq.gz,188.268,57.05,89255
HG01167,HG01167_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG01167_r10-hifiasm-correct.ec.ont.fq.gz,212.971,64.54,102760
